region,price_per_sqm
Makkah,1667.8042379512017
Riyadh,1450.0
Eastern Province,1190.4761904761904
Madinah,952.3265351037858
Tabuk,571.4285714285714
Asir,550.0
Jazan,380.0
Qassim,332.1726466798449
Al Baha,197.8895264749035
Al Jouf,166.66666666666666
Hail,145.83333333333334
Najran,128.03234501347708
Northern Borders,55.37518037518038
